activity,occupation,lmd_share,bench_share,diff_pp
aprnt,prof,0.08236,0.07731,0.50543
aprnt,tech,0.07252,0.07288,-0.03574
aprnt,cler,0.04836,0.04866,-0.02995
aprnt,sale,0.02600,0.02609,-0.00826
aprnt,skag,0.00000,0.00000,0.00000
aprnt,craf,0.13727,0.13710,0.01721
aprnt,oper,0.13007,0.13082,-0.07481
aprnt,elmn,0.06211,0.06245,-0.03407
aprnt,doms,0.00000,0.00000,0.00000
apuba,mang,0.24330,0.24077,0.25284
apuba,prof,0.17155,0.17081,0.07481
apuba,tech,0.12649,0.12742,-0.09303
apuba,cler,0.17281,0.17324,-0.04366
apuba,sale,0.24253,0.24432,-0.17825
apuba,skag,0.00007,0.00007,0.00029
apuba,craf,0.00933,0.00940,-0.00689
apuba,oper,0.01130,0.01138,-0.00840
apuba,elmn,0.02261,0.02259,0.00229
apuba,doms,0.00000,0.00000,0.00000
ardtv,mang,0.28078,0.35648,-7.56951
ardtv,prof,0.25651,0.01544,24.10749
ardtv,tech,0.20126,0.28606,-8.47966
ardtv,cler,0.07348,0.10099,-2.75060
ardtv,sale,0.01081,0.11095,-10.01393
ardtv,skag,0.00000,0.00000,0.00000
ardtv,craf,0.05960,0.08110,-2.15072
ardtv,oper,0.10570,0.03495,7.07518
ardtv,elmn,0.01186,0.01404,-0.21824
ardtv,doms,0.00000,0.00000,0.00000
areal,mang,0.67434,0.67957,-0.52232
areal,prof,0.00798,0.00870,-0.07131
areal,tech,0.15904,0.15870,0.03383
areal,cler,0.02511,0.02558,-0.04707
areal,sale,0.10788,0.10436,0.35227
areal,skag,0.00000,0.00000,0.00000
areal,craf,0.00067,0.00074,-0.00757
areal,oper,0.00361,0.00392,-0.03094
areal,elmn,0.02137,0.01844,0.29311
areal,doms,0.00000,0.00000,0.00000
arecr,mang,0.25163,0.25203,-0.03999
arecr,prof,0.22827,0.22787,0.03978
arecr,tech,0.22666,0.22457,0.20953
arecr,cler,0.10307,0.10336,-0.02968
arecr,sale,0.06798,0.06873,-0.07445
arecr,skag,0.00297,0.00301,-0.00327
arecr,craf,0.02775,0.02803,-0.02779
arecr,oper,0.00684,0.00692,-0.00804
arecr,elmn,0.08482,0.08548,-0.06609
arecr,doms,0.00000,0.00000,0.00000
arent,mang,0.53628,0.54211,-0.58230
arent,prof,0.03494,0.02000,1.49472
arent,tech,0.03442,0.03594,-0.15182
arent,cler,0.14006,0.14291,-0.28433
arent,sale,0.00768,0.00780,-0.01212
arent,skag,0.00000,0.00000,0.00000
arent,craf,0.04671,0.04739,-0.06797
arent,oper,0.11974,0.12226,-0.25158
arent,elmn,0.08015,0.08160,-0.14460
arent,doms,0.00000,0.00000,0.00000
arsea,mang,0.54485,0.54776,-0.29084
arsea,prof,0.28645,0.28806,-0.16085
arsea,tech,0.09367,0.09416,-0.04921
arsea,cler,0.06126,0.05618,0.50808
arsea,sale,0.00814,0.00818,-0.00395
arsea,skag,0.00000,0.00000,0.00000
arsea,craf,0.00007,0.00007,-0.00009
arsea,oper,0.00216,0.00217,-0.00118
arsea,elmn,0.00340,0.00342,-0.00195
arsea,doms,0.00000,0.00000,0.00000
artrd,mang,0.29462,0.29219,0.24394
artrd,prof,0.06379,0.06569,-0.18972
artrd,tech,0.03178,0.03224,-0.04624
artrd,cler,0.13476,0.13732,-0.25647
artrd,sale,0.19892,0.19685,0.20634
artrd,skag,0.00015,0.00015,-0.00027
artrd,craf,0.05336,0.05348,-0.01290
artrd,oper,0.01926,0.01927,-0.00076
artrd,elmn,0.20337,0.20280,0.05609
artrd,doms,0.00000,0.00000,0.00000
arubb,mang,0.14940,0.14946,-0.00559
arubb,prof,0.02882,0.02880,0.00228
arubb,tech,0.09651,0.09650,0.00090
arubb,cler,0.04032,0.04031,0.00070
arubb,sale,0.00075,0.00075,-0.00015
arubb,skag,0.00000,0.00000,0.00000
arubb,craf,0.20286,0.20291,-0.00482
arubb,oper,0.40613,0.40610,0.00312
arubb,elmn,0.07521,0.07518,0.00355
arubb,doms,0.00000,0.00000,0.00000
atrps,mang,0.37000,0.37833,-0.83229
atrps,prof,0.08323,0.08150,0.17322
atrps,tech,0.09520,0.09225,0.29576
atrps,cler,0.23177,0.22402,0.77425
atrps,sale,0.05023,0.04909,0.11468
atrps,skag,0.00144,0.00145,-0.00144
atrps,craf,0.00908,0.00929,-0.02170
atrps,oper,0.06890,0.07109,-0.21923
atrps,elmn,0.09015,0.09299,-0.28323
atrps,doms,0.00000,0.00000,0.00000
awast,mang,0.04007,0.04028,-0.02141
awast,prof,0.00983,0.00986,-0.00287
awast,tech,0.00762,0.00766,-0.00439
awast,cler,0.01148,0.01154,-0.00672
awast,sale,0.00736,0.00740,-0.00364
awast,skag,0.00026,0.00026,-0.00018
awast,craf,0.00638,0.00642,-0.00385
awast,oper,0.04705,0.04728,-0.02285
awast,elmn,0.86995,0.86929,0.06591
awast,doms,0.00000,0.00000,0.00000
awatd,mang,0.11232,0.11321,-0.08871
awatd,prof,0.04397,0.03365,1.03196
awatd,tech,0.09540,0.09578,-0.03727
